Project Description,Location,Contractor,Cost,Completion Date
"Construction of Drainage System along Butuan City-Cagayan de Oro-Iligan Road, Silongan St. to Jct Montilla Blvd (Both Sides) including sidewalk, curb and gutter, Butuan City, Agusan Del Norte",AGUSAN DEL NORTE,EQUI-PARCO CONSTRUCTION COMPANY,144749954.88,09/20/2024
"Construction of Flood Control Structure along Matabao Creek, Buenavista, Agusan del Norte",AGUSAN DEL NORTE,JD-RG CONSTRUCTION AND SUPPLIES CORP. (FORMERLY: JD-RG CONSTRUCTION CORPORATION),96486681.01,09/20/2024
"Construction of Flood Mitigation Structure along Mandulog River at Digkilaan Bridge, Iligan City",LANAO DEL NORTE,VICTORIANO C. LIM CONSTRUCTION CORPORATION (FORMERLY: VICTORIANO C. LIM CONSTRUCTION),77198185.6,09/20/2024
"Construction of Flood Control Structures at Brgy Lanas, Naga City, Cebu (Package 2) Right Side",CEBU,QUIRANTE CONSTRUCTION CORPORATION (FORMERLY: QUIRANTE CONSTRUCTION),96399888.0,09/20/2024
"Construction of Aganan Flood Control Structure (Jaro-Aganan River), Barangay Poblacion (going to Subana), Alimodian, Iloilo",ILOILO,"A.D. PENDON CONSTRUCTION & SUPPLY, INC. (FORMERLY: ADP CONSTRUCTION & SUPPLY)",86848871.29,09/20/2024
"Construction of Aganan Flood Control Structure (Jaro-Aganan River), Barangay Bagumbayan, Alimodian, Iloilo",ILOILO,"WOODLAND CONSTRUCTION & SUPPLY, INC.",66694563.99,09/20/2024
"Construction of Flood Mitigation Structure along Bicol River, Barangay Palsong Section, Bula, Camarines Sur",CAMARINES SUR,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY / KENZAI BUILDERS CORPORATION,139925000.0,09/20/2024
"Construction of Riverbank Protection along Daraga River, Barangay San Isidro Section, Buhi, Camarines Sur",CAMARINES SUR,G.C.I. CONSTRUCTION AND DEV'T. CORP.,135100000.0,09/20/2024
"Construction of Flood Control Structure along Bicol River, Barangay Ombao Heights Section, Bula, Camarines Sur",CAMARINES SUR,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",139925000.0,09/20/2024
"Construction of Flood Mitigation Structure, Barangay 56 Taysan, Legazpi City, Albay",ALBAY,HI-TONE CONSTRUCTION & DEVELOPMENT CORP. (FORMERLY / KNJ CONSTRUCTION AND SUPPLY,48998837.03,09/20/2024
"Construction of Salug Flood Control, Barangay Tumapic, Mahayag, Zamboanga del Sur",ZAMBOANGA DEL SUR,MJMARI BUILDERS AND DEVELOPMENT CORPORATION (FORMERLY: MJMARI BUILDERS AND ENTERPRISES),39174963.49,09/20/2024
"Construction of Ayog-og Flood Control Structure (Upstream) B/S, Bachawan, San Agustin, Romblon",SURIGAO DEL SUR,EMQ DESIGN & CONSTRUCTION,48249972.86,09/20/2024
"Construction of Slope Protection Structure along Talog Bridge, Taytay, Palawan",RIZAL,JASMIG CONSTRUCTION CORPORATION (FORMERLY: JASMIG CONSTRUCTION SUPPLY),96499998.63,09/20/2024
"Construction of Flood Control Structure along Pampanga River, Apalit, Pampanga",PAMPANGA,11-16 CONSTRUCTION,46554004.9,09/20/2024
"Construction of Flood Mitigation Structure including Drainage System along Baca River, Barangay Mayapyap, Cabanatuan City, Nueva Ecija",NUEVA ECIJA,FRAMECON BUILDERS,75650574.13,09/20/2024
"Construction of Flood Control Structure along Rio Chico, Barangay Macamias, Guimba, Nueva Ecija",NUEVA ECIJA,NIÑAS CONSTRUCTION CORP. (FORMERLY: NINA'S CONSTRUCTION AND SUPPLIES),19105042.95,09/20/2024
"Construction/Rehabilitation of Flood Control Structures along Rio Chico River, Brgy. Macamias, Guimba, Nueva Ecija (Phase 2)",NUEVA ECIJA,NIÑAS CONSTRUCTION CORP. (FORMERLY: NINA'S CONSTRUCTION AND SUPPLIES),28660430.44,09/20/2024
"Construction/Rehabilitation of Flood Control Structures along Labong River, Brgy. Tabing Ilog, Licab, Nueva Ecija",NUEVA ECIJA,IJK MAE CONSTRUCTION INC.,47767302.32,09/20/2024
"Construction of Flood Control Structure, Brgy. Butas na Bato, Dingalan, Aurora",AURORA,DALCON CONSTRUCTION,28950000.0,09/20/2024
"Construction of Subsub River Control Structure, Brgy. Davil-davilan, Dingalan, Aurora",AURORA,DALCON CONSTRUCTION,16887500.0,09/20/2024
"Construction of Flood Mitigation Structure along Ilagan River, Barangay Alinguigan 1st to Barangay Alinguigan 2nd, City of Ilagan, Isabela",ISABELA,DRAGON TWELVE BUILDERS & CONSTRUCTION SUPPLY,139912867.25,09/20/2024
"Construction of Slope Protection Works along Sinucalan River, Barangay Minien East, Sta. Barbara, Pangasinan",PANGASINAN,J.G. GARCIA CONSTRUCTION & SUPPLY (FOR: J.G. GARCIA CONST.),48137413.02,09/20/2024
"Rehabilitation of Binondo Pumping Station, Manila",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES / MNJAP CONSTRUCTION SERVICES,143198795.16,09/20/2024
"Construction of Drainage System, Zone 58-62, Manila City (Phase III)",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES / G2XD CONSTRUCTION SERVICES,98959761.62,09/20/2024
"Rehabilitation of Drainage System with Ground Improvement at Barangay 20, Tondo, Manila City",CITY OF MANILA,JJPR CONSTRUCTION SERVICES,19798429.06,09/20/2024
"Construction of Flood Mitigation Structure along Muzon and Dampalit River (Phase 7), Malabon City",MALABON CITY,"A.L. SALAZAR CONSTRUCTION, INC. / ROTAFLEX CONSTRUCTION AND DEVELOPMENT CORP. (FORMERLY:ROTA FLEX CONSTRUCTION)",59399880.03,09/20/2024
"Construction of Cavillan River Waterway Enhancement Structure (Nasukob Section), along Sitio Cavillan, Barangay Nasukob, Bulalacao, Oriental Mindoro",ORIENTAL MINDORO,D.M. MALIWANAG BUILDERS AND ENTERPRISES,29397112.52,09/19/2024
"Construction of Flood Control Structure along Busokbusokan River, Barangay San Vicente, San Narciso, Quezon, Package 1",QUEZON,VFL BUILDERS / WAWAO BUILDERS,96500000.0,09/19/2024
"Construction of Flood Control Structure at Brgy. Cabuyao, Padre Burgos, Quezon",QUEZON,ADAD ENGINEERING SERVICES & SUPPLY / LAICAN ENTERPRISES INC.,49000000.0,09/19/2024
"Construction of Flood Control along Tarlac River Control Right Dike, Salapungan - Sta. Cruz Section (Segment A), Tarlac City, Tarlac",TARLAC,"L.R. TIQUI BUILDERS, INC.",99000000.0,09/19/2024
"Construction of Flood Control along Tarlac River Control Right Dike, Salapungan - Sta. Cruz Section (Segment B), Tarlac City, Tarlac",TARLAC,"L.R. TIQUI BUILDERS, INC.",99000000.0,09/19/2024
"Construction of Flood Control Structure along O'Donnell River Control, Moriones - Balanti Section (Section D), Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,92954070.0,09/19/2024
"Construction of Flood Control Structure along Tarlac River - O'Donnell River, Balanti - Armenia Section (Segment A), Tarlac City, Tarlac",TARLAC,1FC DIZON CORP. / A.C. SOLIVEN CONSTRUCTION & GENERAL MERCHANDISE,99000000.0,09/19/2024
"Construction of Flood Control Structure along Tarlac River - O' Donnell River, Balanti - Armenia Section (Segment C), Tarlac City, Tarlac",TARLAC,GVDPM CONSTRUCTION CORP. (FORMERLY: ZM CONSTRUCTIO,99000000.0,09/19/2024
"Construction of Flood Control Structure along Rio Chico River (Segment L), Victoria, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,99000000.0,09/19/2024
"Construction of Slope Protection Structure along Tarlac River (Left Dike), Brillante-Aduas (Package L), Paniqui, Tarlac",TARLAC,BIG BERTHA CONSTRUCTION & DEVELOPMENT,49500000.0,09/19/2024
"Construction of Riverbank Protection Structure at Barangay Malis (Phase III), Guiguinto, Bulacan",BULACAN,WAWAO BUILDERS,98999939.04,09/19/2024
"Construction of Riverbank Protection Structure along Guiguinto River, Barangay Daungan, Guiguinto, Bulacan",BULACAN,M.S. RAMOS CONSTRUCTION INC. (FORMERLY: M.S. RAMOS,96499234.24,09/19/2024
"Construction of Flood Control Project along Pulo-Almacen River Phase VII - CMD, Hermosa, Bataan",BATAAN,SAN SEBASTIAN CONSTRUCTION,29699999.9,09/19/2024
"Construction of Concrete Canal with Concrete Cover and Sidewalk, Brgy. Cailayan, Abucay, Bataan (Phase I)",BATAAN,DE JESUS CONSTRUCTION,9899999.1,09/19/2024
"Construction of Flood Control Project along Sapang Kastila Capitangan, Bataan",BATAAN,AVE-MIRA CONSTRUCTION AND TRADING,9899999.8,09/19/2024
"Construction of Flood Control Project along Agno River, Barangay Erfe, Santa Barbara, Pangasinan",PANGASINAN,SYNDTITE CONSTRUCTION CORPORATION (FORMERLY: R.C. TAGALA CONSTRUCTION),48075596.98,09/19/2024
"Rehabilitation of Drainage System at C. Santos St. and F. Legaspi St., Barangay Ugong, Pasig City",PASIG CITY,GH BELANDRES CONSTRUCTORS INC,19284028.41,09/19/2024
"Construction of Riverbank Protection Structure along Colacling River Zone 1, Barangay Colacling, Lupi, Camarines Sur",CAMARINES SUR,G.C.I. CONSTRUCTION AND DEV'T. CORP.,94386023.3,09/18/2024
"Construction of Libertad Flood Control Structure (Downstream), Libertad, Odiongan, Romblon",ROMBLON,SCATR CONSTRUCTION,109372135.0,09/18/2024
"Construction of Slope Protection at Maimpis-Malpitic Creek, City of San Fernando, Pampanga",PAMPANGA,THREE-IN-ONE CONSTRUCTION & TRADING,46549941.34,09/18/2024
"Construction of Riverbank Protection Structure at Barangay Pagala, Baliuag, Bulacan",BULACAN,FERDSTAR BUILDERS INC.,72374181.8,09/18/2024
"Construction of Riverbank Protection Structure along Balagtas River (Phase II), Barangay San Juan, Balagtas, Bulacan",BULACAN,JB CONSTRUCTION AND SUPPLY INC. (FORMERLY:JB CONSTRUCTION AND SUPPLY),96499691.57,09/18/2024
"Construction of Riverbank Protection Structure along Balagtas River, Barangay San Juan, Balagtas, Bulacan",BULACAN,JB CONSTRUCTION AND SUPPLY INC. (FORMERLY:JB CONSTRUCTION AND SUPPLY),96499958.97,09/18/2024
"Construction of Revetment along Balagtas River, Santol, Balagtas, Bulacan",BULACAN,M.G. FRANCISCO CONSTRUCTION,49499812.33,09/18/2024
"Construction of Revetment along San Dionisio River (Phase III), Parañaque City",PARAÑAQUE CITY,ILFREO CONSTRUCTION CORP. (FORMERLY:ILFREO CONSTRUCTION & TRADING CORP.),48606719.37,09/18/2024
"Construction of Drainage System at Barangay Pinagbuhatan, Phase 3, Pasig City",PASIG CITY,"F.P. DE GUZMAN CONSTRUCTION, INC.",14355000.0,09/18/2024
"Construction of Drainage System at Barangay Pinagbuhatan, Phase 4, Pasig City",PASIG CITY,F316 CONSTRUCTION CORP.,14358000.0,09/18/2024
"Construction of Malabbaga Flood Control Structure, Malabbaga, La Paz, Abra",ABRA,MG SAMIDAN CONSTRUCTION,48997499.86,09/18/2024
"Construction of Flood Mitigation Structure along Padada-Mainit River, Lapulabao Upstream Section, Hagonoy, Davao del Sur",DAVAO DEL SUR,ROAD EDGE TRADING & DEVELOPMENT SERVICES,89178545.0,09/17/2024
"Construction of Flood Control Structure along Cugman River, FS Catanico, Cagayan de Oro",MISAMIS ORIENTAL,5S DEVELOPMENT CORPORATION,19206336.98,09/17/2024
"Construction of Tide Protection Embankment, Barangay Silad, Villaba, Leyte",LEYTE,RJIR ENTERPRISES CORPORATION,48754999.82,09/17/2024
"Construction of Panique Flood Control along Panique Br. I, Panique, Odiongan, Romblon",ROMBLON,SCATR CONSTRUCTION,96497440.82,09/17/2024
"Construction of Flood Control Strucurue along Langogan River Upstream (LS), Palawan",PALAWAN,MAINTIN CONSTRUCTION & SUPPLY,17369997.4,09/17/2024
"Construction of Flood Control Structure along Meycauayan River and its Tributaries (Caingin-Meyland Section), Sta. 9+500 - Sta. 9+850, Meycauayan City, Bulacan",BULACAN,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,48999993.98,09/17/2024
"Construction of Slope Protection Structure and Waterways, Barangay Malis, Guiguinto, Bulacan",BULACAN,TOPNOTCH CATALYST BUILDERS INC. / BEAM TEAM DEVELOPER SPECIALIST INC.,59399639.41,09/17/2024
"Construction of Slope Protection along Marusay River at Barangay Dalongue, Sta. Barbara, Pangasinan",PANGASINAN,J.G. GARCIA CONSTRUCTION & SUPPLY (FOR: J.G. GARCIA CONST.),48249656.72,09/17/2024
"Rehabilitation of Luneta Pumping Station at Katigbak Parkway, Ermita, Manila City - Phase II",CITY OF MANILA,EIGHT J'S CONSTRUCTION SERVICES,96490816.38,09/17/2024
"Rehabilitation of Dike along Mandakpan-Bonbon Channel, Downstream Section, Butuan City, Agusan Del Norte",AGUSAN DEL NORTE,EQUI-PARCO CONSTRUCTION COMPANY,144749999.69,09/16/2024
"Construction of Flood Control Structure along Dangoan River, Package 2, Medina, Misamis Oriental",MISAMIS ORIENTAL,ROAD EDGE TRADING & DEVELOPMENT SERVICES,120623945.19,09/16/2024
"Construction of Llorente Flood Control Structure, K0977+400 - K0978+000, Llorente, Eastern Samar",EASTERN SAMAR,JAMA88 BUILDERS INC. / P.B. OBIAL CONSTRUCTION,77199970.5,09/16/2024
"Construction of Revetment Wall at Sitio Nonok - Sitio Mainit, Brgy. Montañeza, Malabuyoc, Cebu",CEBU,"JTC CRUZ CONSTRUCTION CO., INC.",96495998.18,09/16/2024
"Construction of Flood Control Structure along Polo River (Downstream Left Side), Alcantara, Cebu",CEBU,QM BUILDERS,144745350.32,09/16/2024
"Construction of Revetment Wall along Ibajay River, Barangay Polo, Ibajay, Aklan",AKLAN,ALMANA CONSTRUCTION AND DEV'T CORPORATION,128763568.98,09/16/2024
"Construction of Revetment Wall along Ibajay River, Brgy. Rizal, Ibajay, Aklan",AKLAN,ALMANA CONSTRUCTION AND DEV'T CORPORATION,95335880.55,09/16/2024
"Construction of Drainage Canal, Barangay Mampungo, Paracale, Camarines Norte",CAMARINES NORTE,"JAEJR ELECTRICAL, CONSTRUCTION & SUPPLY",4949995.1,09/16/2024
"Construction of Batang-batang River Flood Control Structure, Narra, Palawan",PALAWAN,ORANI CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY:ORANI BUILDERS & SUPPLY),53004257.5,09/16/2024
"Construction of Flood Control Structure along Talavera River, Barangay Caridad Norte, Llanera, Nueva Ecija",NUEVA ECIJA,ADROIT EJD CONSTRUCTION CORP. (FORMERLY: ADROIT CONSTRUCTION),47767474.68,09/16/2024
"Construction of Flood Control along Benay River, Palabotan Section, Dupax del Sur, Nueva Vizcaya",NUEVA VIZCAYA,BRG CONSTRUCTION,96492915.54,09/16/2024
"Construction of Flood Control Structure along Bauang River Basin, Barangay Dalacdac, Burgos, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,48264987.53,09/16/2024
"Rehabilitation of Flood Control Structure, Kaybukot Creek, Barangay Gulod, Quezon City",QUEZON CITY,LE BRON CONSTRUCTION,28157584.94,09/16/2024
"Construction of Flood Mitigation Structure and Groundsill at Manila Memorial Park, North Side, Phase 1, Parañaque City",PARAÑAQUE CITY,RNN CONSTRUCTION CORPORATION (FORMERLY RNN CONSTRU / AKN CONSTRUCTION CORPORATION,92609743.96,09/16/2024
"Improvement of Marikina River, Barangay Tumana, Marikina City (Phase 1)",MARIKINA CITY,"L.R. TIQUI BUILDERS, INC.",94376471.21,09/16/2024
"Construction of Muzon Riverwall (Phase 6), Barangay Muzon, Malabon City",MALABON CITY,ELITE GENERAL CONTRACTOR AND DEVELOPMENT CORP.,45333708.44,09/16/2024
"Construction of Masablang Flood Control, Bantay, Paracelis, Mountain Province",MOUNTAIN PROVINCE,J.M. DAPING CONSTRUCTION SERVICES,19600000.0,09/16/2024
"Construction of Buli Flood Control Structure, Buli, La Paz, Abra",ABRA,MG SAMIDAN CONSTRUCTION,96497500.15,09/16/2024
"Construction of Bislig City Coastal Protection along Surigao-Davao Coastal Rd, Surigao del Sur",SURIGAO DEL SUR,"J.M. LUCIANO CONSTRUCTION, INC. / SURIGAO LA SUERTE CORPORATION",173699971.67,09/15/2024
"Construction of Drainage at Barangay Carmen, Cagayan de Oro City",MISAMIS ORIENTAL,CAGALAWAN ENTERPRISES,19800000.0,09/15/2024
"Construction of Flood Protection Structure along Barangays Lumangbayan and Marikit, Paluan, Mindoro Occidental",OCCIDENTAL MINDORO,JIIK CONSTRUCTION SERVICES,96496449.5,09/15/2024
"Construction of Protection Dike at Barangay 8, Mamburao, Occidental Mindoro",OCCIDENTAL MINDORO,ST. GERRARD CONSTRUCTION GEN. CONTRACTOR & DEVELOPMENT CORP. (FORMERLY:ST. GERRARD CONSTRUCTION),94693310.64,09/15/2024
"Rehabilitation of Existing Dike along Parua River (Castillo Section, Left Bank), Package H, Sta. 5+569.50 to Sta. 5+969.90, Concepcion, Tarlac",TARLAC,STO. CRISTO CONSTRUCTION & TRADING INC. (FOR: STO. CRISTO CONSTRUCTION & TRADING),96478501.75,09/15/2024
"Rehabilitation of Existing Dike along Parua River (Castillo Section, Left Bank), Package I, Sta. 5+169.10 to Sta. 569.50, Concepcion, Tarlac",TARLAC,RAIK CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: RAIK CONSTRUCTION AND SUPPLY),96461259.27,09/15/2024
"Construction of Addalam River Flood Control, Upstream (Disiluad Section), Aglipay, Quirino",QUIRINO,"A.P.D. CONSTRUCTION, INC. (FORMERLY: APD CONSTRUCTION)",34247245.44,09/15/2024
"Construction of Flood Mitigation Structure along Pinacanauan River, Barangay Baculod, Ilagan City, Isabela.",ISABELA,DRAGON TWELVE BUILDERS & CONSTRUCTION SUPPLY,48994560.0,09/15/2024
"Construction of Flood Control Structure, Barangay 1, Jaro, Leyte",LEYTE,IVS BUILDERS,4862639.81,09/14/2024
"Construction of Flood Control along Binahaan River, Barangay Camire, Tanauan, Leyte",LEYTE,EZJONES CONSTRUCTION INC. / XDR CONSTRUCTION AND SUPPLY,96450000.44,09/14/2024
"Construction of Slope Protection at Sapang Balen (Calulut Portion), City of San Fernando, Pampanga",PAMPANGA,R.G. DIAZ BUILDERS & TRADING,46451987.21,09/14/2024
"Construction of Slope Protection along Villagonzaga-Nabbuan Road, Villagonzaga-Nabbuan, Santiago City, Isabela",ISABELA,CASAN CONSTRUCTION AND TRADING,4939562.86,09/14/2024
"Construction of Flood Mitigation Structures in Iloilo City- Drainage System 1, Iloilo City",ILOILO,NOE'S BUILDERS,9899955.26,09/13/2024
"Construction of Flood Control Strucurue along Langogan River Downstream (RS), Palawan",PALAWAN,TAGUSAO CONSTRUCTION & TRADING INC. (FORMERLY: TAGUSAO CONSTRUCTION & TRADING),17370000.0,09/13/2024
"Construction of Revetment, Brgy. Maliksi, Bacoor, Cavite",CAVITE,ALMAKAR BUILDERS & METAL WORKS,15839774.23,09/13/2024
"Construction of Flood Mitigation Structure, Mabalanoy Bridge, San Juan, Batangas",BATANGAS,HAWK KEY CONSTRUCTION AND GENERAL MERCHANDISE CORPORATION / YPR GEN. CONTRACTOR AND CONSTRUCTION SUPPLY INC.,77200000.0,09/13/2024
"Construction of Flood Control Structure along Talisay River (9+385-9+810), Balanga City, Bataan",BATAAN,BPQ CONSTRUCTION AND TRADING / POLYMER-VIC CONSTRUCTION,67550000.0,09/13/2024
"Construction of San Esteban Flood Control, San Esteban, Ilocos Sur",ILOCOS SUR,MRK-SQUARE CONSTRUCTION AND SUPPLY,29399480.08,09/13/2024
"Construction of Flood Control Structure, Barangay Busiing Cen-Sur, San Ildefonso, Ilocos Sur",ILOCOS SUR,AB DIAMOND23 CONSTRUCTION,14546995.06,09/13/2024
"Construction of Revetment along Fisherman's Wharf (Phase II), Barangay La Huerta, Parañaque City",PARAÑAQUE CITY,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP. / K84 CONSTRUCTION AND DEVELOPMENT CORPORATION,77194055.8,09/13/2024
"Construction of Flood Control Structure along Alae River (Right Side), Package 3, Barangay Casinglot, Tagoloan, Misamis Oriental",MISAMIS ORIENTAL,ARCINUE COMM'L CORPORATION / CROWNWORKS CONSTRUCTION INC.,125450000.0,9/12/2024
"Construction of Flood Control Concrete Revetment, Gaid River, Barangay Gaid, Dimasalang, Masbate",MASBATE,HKP CONSTRUCTION AND SUPPLY / A3 CONSTRUCTION & SUPPLY,48962315.19,9/12/2024
"Construction of Flood Control Structure along Abra Major River Basin, Barangay San Jose Sur, Manabo, Abra",ABRA,MG SAMIDAN CONSTRUCTION,144750000.0,9/12/2024
"Construction of River Bank Protection along Banga River, Barangay Dumaguil, Norala, South Cotabato",SOUTH COTABATO,REYDAN BUILDERS,29785008.72,9/11/2024
"Construction of Canaway River Control (Downstream A), Siaton, Negros Oriental",NEGROS ORIENTAL,YPR GEN. CONTRACTOR AND CONSTRUCTION SUPPLY INC.,45080000.0,9/11/2024
"Construction of Mantuyop River Control, Siaton, Negros Oriental",NEGROS ORIENTAL,AMETHYST HORIZON BUILDERS AND GEN. CONTRACTOR AND DEVELOPMENT CORP.,44067660.0,9/11/2024
"Construction of Canaway River Control (Upstream A), Siaton, Negros Oriental",NEGROS ORIENTAL,ELITE GENERAL CONTRACTOR AND DEVELOPMENT CORP.,45080000.0,9/11/2024
"Construction of Dimasalang Flood Control, Barangay G. Aliño, Dimasalang, Masbate",MASBATE,3R3M CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY: 3R3M CONSTRUCTION AND SUPPLY),48942303.93,9/11/2024
"Construction of Reinforced Concrete Slope Protection Structure along (L/S) Sapangbalen Creek, Downstream of Barangay San Ildefonso, Magalang, Pampanga",PAMPANGA,TONKA CONSTRUCTION,48971773.59,9/11/2024
"Construction of Reinforced Concrete Slope Protection Structure (Leftside) along Quitangil Creek, Barangay Sapangbiabas, Mabalacat City, Pampanga",PAMPANGA,THREE-IN-ONE CONSTRUCTION & TRADING / P.V.B. CONSTRUCTION & TRADING,96464724.6,9/11/2024
"Construction of Road Dike, Sta. 00+000 - Sta. 00+134, Obando Section, Bulacan",BULACAN,HALREY CONSTRUCTION INC.,144749396.58,9/11/2024
"Construction of San Francisco CIS Gabion Protection Works along Main Canal, Aglipay, Quirino",QUIRINO,"A.P.D. CONSTRUCTION, INC. (FORMERLY: APD CONSTRUCTION)",19594188.04,9/11/2024
"Rehabilitation Flood Control Structures along Caba Creek, Brgy. Ilang, San Carlos City, Pangasinan",PANGASINAN,MIGHTYWAY CONSTRUCTION AND SUPPLY,9899873.79,9/11/2024
"Rehabilitation Flood Control Structures along Ingalera River, Brgy. Aliaga, Malasiqui, Pangasinan",PANGASINAN,MIGHTYWAY CONSTRUCTION AND SUPPLY,9899990.31,9/11/2024
"Construction of Slope Protection Structure along Ingalera River, Brgy. Malimpec, Malasiqui, Pangasinan (Phase V)",PANGASINAN,MIGHTYWAY CONSTRUCTION AND SUPPLY,24120025.11,9/11/2024
"Improvement of Drainage System along MIA Road (from Domestic Road to Tambo Bridge), Barangay 192 Zone 20 and its vicinity, Pasay City",PASAY CITY,SLHAV CONSTRUCTION,4809909.62,9/11/2024
"Construction of Slope Protection Structure along C-6 Open Channel, (Phase 6), Taguig City",TAGUIG CITY,"TOUGHBUILT CONSTRUCTION & TRADING, INC.",94569489.5,9/11/2024
"Construction of Slope Protection Structure along Labasan River (East Bank) Package 3, Taguig City",TAGUIG CITY,HALREY CONSTRUCTION INC.,94550679.0,9/11/2024
"Construction of Slope Protection Structure along C-6 Open Channel, (Phase 1), Taguig City",TAGUIG CITY,J. SIMEON CONSTRUCTION,141811101.15,9/11/2024
"Construction of Slope Protection Structure along C-6 Open Channel, (Phase 3), Taguig City",TAGUIG CITY,J. SIMEON CONSTRUCTION,141854632.51,9/11/2024
"Construction of Slope Protection Structure along C-6 Open Channel, (Phase 4), Taguig City",TAGUIG CITY,"TOUGHBUILT CONSTRUCTION & TRADING, INC.",94550154.65,9/11/2024
"Construction of Slope Protection Structure along C-6 Open Channel, (Phase 5), Taguig City",TAGUIG CITY,"TOUGHBUILT CONSTRUCTION & TRADING, INC.",94569576.09,9/11/2024
"Construction of Riverwall along Tangos River (Phase 2), Navotas City",NAVOTAS CITY,TOPNOTCH CATALYST BUILDERS INC.,49000000.0,9/11/2024
"Construction of Meocan CIS Prop Protection Dike at Arakan River, Arakan, Cotabato",COTABATO (NORTH COTABATO),LLABAN CONSTRUCTION & SUPPLY (FORMERLY: LLABAN CON,34299999.54,9/10/2024
"Construction of Abucayan Norte Flood Control, Abucayan Norte, Calape, Bohol",BOHOL,BNYU DEVELOPMENT CORPORATION (FORMERLY:BNYU ENTERPRISES & CONSTRUCTION),19532000.0,9/10/2024
"Construction of Flood Mitigation Structure along Longos River (Downstream), Calapan City, Oriental Mindoro",ORIENTAL MINDORO,ARCONIC INC.,19800000.0,9/10/2024
"Construction of Slope Protection Structure along Malaking Ilog (Phase 1), Brgy. Lipahan, San Juan, Batangas",BATANGAS,"STRUKTURA TEKNIKA SERVICES CO. / E.M. CUERPO, INC.",96030000.0,9/10/2024
"Construction of Flood Mitigation Structure along San Juan River, Sto. Tomas City, Batangas",BATANGAS,NDA BUILDERS AND DEVELOPERS,87610008.0,9/10/2024
"Construction of Flood Mitigation Structure along San Juan River, Tanauan City, Batangas",BATANGAS,NDA BUILDERS AND DEVELOPERS,86849850.8,9/10/2024
"Construction of Flood Control Structure at Obando Tributaries, Sta. 00+462 - Sta. 00+625, Barangay Catanghalan-Pag-asa, Obando, Bulacan",BULACAN,JB CONSTRUCTION AND SUPPLY INC. (FORMERLY:JB CONSTRUCTION AND SUPPLY),48998769.87,9/10/2024
"Construction of Reinforced Concrete Slope Revetment at Barangay Bulihan, Malolos City, Bulacan",BULACAN,SYMS CONSTRUCTION TRADING,62724643.44,9/10/2024
"Construction of Flood Mitigating Structure, Barangay Pudoc, Bangar, La Union",LA UNION,ARM-ASIA CONSTRUCTION & ENGINEERING,48999163.46,9/10/2024
"Construction of Flood Mitigation Structure Construction of Flood Mitigation Structure along Titunod Bridge II (B00956MN), Upstream (R/S), Kolambugan, Lanao del Norte",LANAO DEL NORTE,"RUDHIL CONSTRUCTION & ENTERPRISES, INC.(FORMERLY R",49000000.0,9/9/2024
"Construction of Revetment Wall, Phase 2, Barangay Uno, Malabuyoc, Cebu",CEBU,KENNETH CONSTRUCTION AND GENERAL MERCHANDISE,39195962.06,9/9/2024
"Construction of Flood Control Structure along Lag-asan River, Cadiz City, Negros Occidental",NEGROS OCCIDENTAL,SILVERGRACES CONSTRUCTION AND CONSTRUCTION SUPPLY,48997432.14,9/9/2024
"Construction of River Control Structure along Gloria River, Malamig Section, Gloria, Oriental Mindoro",ORIENTAL MINDORO,LUMEL GLENN CONSTRUCTION,28822592.66,9/9/2024
"Construction of Drainage Canal System, Barangay Landayan, San Pedro, Laguna",LAGUNA,MICLOVER GENERAL CONSTRUCTION & IRON WORKS,4864617.0,9/9/2024
"Construction of Riverbank Protection along Pansipit River, Agoncillo - San Nicolas, Batangas",BATANGAS,V.R. PATRON BUILDERS & DEVELOPERS CORP. (PREVIOUSL,57263814.85,9/9/2024
"Construction of Riverbank Protection Structure at Barangay Sulivan, Baliuag, Bulacan",BULACAN,IM CONSTRUCTION CORPORATION,96499932.39,9/9/2024
"Construction of Flood Mitigation Structure along Magat River, Turod Section, Reina Mercedes, Isabela Package 1",ISABELA,A. DE GUIA CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: A. DE GUIA CONSTRUCTION),144457257.75,9/9/2024
"Construction of Flood Control Structure, Barangay Tunggui, Tumauini, Isabela",ISABELA,ARVEA'S CONSTRUCTION,19789477.17,9/9/2024
"Construction of Flood Control Wall along Sampaguita Creek, Barangay Marulas, Valenzuela City",VALENZUELA CITY,RWORKMATE CONSTRUCTION,14401100.63,9/9/2024
