Project Description,Location,Contractor,Cost,Completion Date
"Construction of Flood Control Structure along Butuanon River (Downstream) Outfall, Barangay Pakna-an, Mandaue City, Cebu",CEBU,ON POINT CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY:ON POINT CONSTRUCTION),72325000.0,04/28/2025
"Construction of Ala RIS Protection Works, Sto. Niño, South Cotabato",SOUTH COTABATO,MFN BUILDERS,14689979.39,04/25/2025
"Construction of Concrete Revetment along Silway River, Barangay Apopong, General Santos City",SOUTH COTABATO,J.G. ORANZA CONSTRUCTION,96400433.63,04/25/2025
"Construction of Alua Slope Protection Structure along Pampanga River, Barangay Alua, Phase 2, San Isidro, Nueva Ecija",NUEVA ECIJA,"R.A. PAHATI CONST. & SUPPLY, INC.",48754753.43,04/25/2025
"Rehabilitation of River Bank Structure along Pampanga River, Barangay San Pablo, Jaen, Nueva Ecija",NUEVA ECIJA,NUEDA BUILDERS CONSTRUCTION & SUPPLY INC.,96013671.84,04/24/2025
"Construction of Flood Mitigation Structure along Peñaranda River, Barangay Malapit, San Isidro, Nueva Ecija",NUEVA ECIJA,F-DEY CONSTRUCTION AND TRADING,96017500.53,04/24/2025
"Construction of Drainage Structure, Barangay Victoria, Tago, Surigao del Sur",SURIGAO DEL SUR,CRJ CONST AND DEVELOPMENT INC,4934983.08,04/23/2025
"Construction of Flood Control Structure, Amio River (Downstream), Package 1, Santa Catalina, Negros Oriental",NEGROS ORIENTAL,MIGHTY HOK SUMMIT CONSTRUCTION & DEVELOPMENT CORP.,48852510.0,04/22/2025
"Construction of Flood Mitigation Structure along Estero de Sunog Apog, Barangay 172, Manila City",CITY OF MANILA,XIEH CONSTRUCTION,14552258.16,04/21/2025
"Construction of Flood Control Structure Along Tawiran River, Sta. Cruz, Marinduque",DAVAO DEL SUR,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",96495228.29,04/20/2025
"Installation of Booster Pump (Accessories) along Estero dela Reina, Manila City (Phase II)",CITY OF MANILA,A.M. SALONG CONSTRUCTION,37962740.47,04/20/2025
"Construction of Flood Control Structure along Inerangan River, Segment 14, Ramos, Tarlac",TARLAC,ROYAL CROWN MONARCH CONSTRUCTION & SUPPLIES CORP.,70167867.76,04/18/2025
"Rehabilitation of Sabo Dam at Camangaan West CIS, Moncada, Tarlac",TARLAC,RD8 BUILDERS CORPORATION UNDER THE NAME OF RD8 BUILDERS,14700000.0,04/16/2025
"Construction of Flood Control Structures along Susubaen Creek (Segment 41), Ramos, Tarlac",TARLAC,GJE BUILDERS CORPORATION (FORMERLY: GJE BUILDERS),47496290.56,04/16/2025
"Construction of Itum River Control, Itum, Duero, Bohol",BOHOL,LEDA CONSTRUCTION INCORPORATED,96019080.53,04/15/2025
"Construction of Ubay Flood Control Structure, Barangay Bongbong-Barangay San Pascual, Ubay, Bohol",BOHOL,ZLREJ TRADING AND CONSTRUCTION CORPORATION,39565619.24,04/15/2025
"Construction of Bucayao River Control at Camansihan Section, Calapan City, Oriental Mindoro",ORIENTAL MINDORO,MINDALIFI CONSTRUCTION AND SUPPLY,48999976.56,04/14/2025
"Construction of Flood Control Structure along Puerto Creek, Package 1, Cagayan de Oro City",MISAMIS ORIENTAL,OLISON CORPORATION / MAMSAR CONSTRUCTION AND INDUSTRIAL CORPORATION,110634633.37,4/12/2025
"Rehabilitation of Ibayo-Saluysoy Pumping Stations including Flood Gate, Meycauayan City, Bulacan",BULACAN,ALPHA & OMEGA GEN. CONTRACTOR & DEVELOPMENT CORP. / JB CONSTRUCTION AND SUPPLY INC. (FORMERLY:JB CONSTRUCTION AND SUPPLY),48249942.61,4/11/2025
"Construction of Flood Control and Drainage Structures (FCDS- Package 3) along Magat River, Baretbet Section, Bagabag, Nueva Viscaya",NUEVA VIZCAYA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),144750000.0,4/11/2025
"Construction of Flood Mitigation Structure, barangay Poblacion (Phase 2), Impasug-ong, Bukidnon",BUKIDNON,ROSBILL CONSTRUCTION AND SUPPLY,96500000.0,4/10/2025
"Construction of Flood Control along Mananga River (Right Side) at Sitio Tigib, Barangay Lagtang, Talisay City, Cebu (Package 2)",CEBU,QM BUILDERS,144750000.0,4/10/2025
"Construction of Viga Flood Control Structure, Antequera, Bohol",BOHOL,"N.N. YU CONSTRUCTION, INC. (FORMERLY: YU CONSTRUCTION)",67500000.0,4/10/2025
"Construction of Flood Control and Drainage Structures (FCDS- Package 8) along Magat River, Baretbet Section, Bagabag, Nueva Viscaya",NUEVA VIZCAYA,EGB CONSTRUCTION CORPORATION (FORMERLY: EGB CONSTRUCTION),144750000.0,4/10/2025
"Construction of Tambak Uno Pumping Station, Barangay Tanza 2, Navotas City",NAVOTAS CITY,721 BUILDERS CORPORATION,29399282.43,4/8/2025
"Construction of Flood Control Structure, Sitio Ponod to Sitio Sarangani, Brgy. Poblacion, Candijay, Bohol",BOHOL,ZLREJ TRADING AND CONSTRUCTION CORPORATION,96399998.65,4/7/2025
"Construction of Slope Protection Structure, Calinat Dam at PRIS SDC, Science City of Muñoz, Nueva Ecija",NUEVA ECIJA,IJK MAE CONSTRUCTION INC.,9701851.92,4/7/2025
"Bank Improvement along Sta. Maria River and Tributaries, Sta. 08+900 - Sta. 09+304 (San Jose Patag-Pulong Buhangin Section), Sta. Maria, Bulacan",BULACAN,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J",98912408.09,4/6/2025
"Bank Improvement along Sta. Maria River and Tributaries, Sta. 09+304 - Sta. 09+708 (San Jose Patag-Pulong Buhangin Section), Sta. Maria, Bulacan",BULACAN,"NEWBIG FOUR J CONSTRUCTION INC., (FORMERLY FOUR J",98916463.13,4/6/2025
"Construction of Puerto Galera Urban Drainage System, Brgy. San Isidro, Oriental Mindoro",ORIENTAL MINDORO,L.N. SALVADOR CONSTRUCTION CORP. (FOR: L.N. SALVADOR CONSTRUCTION),53074970.85,4/2/2025
"Construction of River Protection Structure at Cabuyao River, near Malitlit-Eton Access Road, Cabuyao City, Laguna",LAGUNA,POWER K CONSTRUCTION SUPPLY & SERVICES / EOZ CONSTRUCTION,85373200.0,4/2/2025
"Upgrading of Lerma Pumping Station, Manila City",CITY OF MANILA,JJPR CONSTRUCTION SERVICES,47318052.55,4/2/2025
"Upgrading of Recto Pumping Station, Manila City",CITY OF MANILA,JJPR CONSTRUCTION SERVICES,47322508.07,4/2/2025
"Construction of Bank Revetment along Bislig River (Burboanan Section), Bislig City, Surigao del Sur",SURIGAO DEL SUR,ME 3 CONSTRUCTION / EVENPAR CONSTRUCTION AND DEVELOPMENT CORPORATION (FORMERLY: EVEN PAR CONST. CO. INC.),96499535.19,03/31/2025
"Construction of Flood Control Structure (Roa Crusher) Upper Balulang Section 3, Cagayan de Oro City",MISAMIS ORIENTAL,TRIPARCO DEVELOPMENT CORPORATION,86096230.7,03/31/2025
"Construction of Flood Control System with Groundsill Package 1 at Baranagy Lamon, Goa, Cam Sur",CAMARINES SUR,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",120625000.0,03/31/2025
"Construction of Drainage System along Barangay 61, Caloocan City",CALOOCAN CITY,DMLC BUILDERS,23958667.09,03/31/2025
"Construction of Flood Control Structure along Saguiaran River, Kalilangan, Bukidnon, Package 4",BUKIDNON,PYRAMID CONSOLIDATED BUILDERS & GEN. MDSE.,77200000.0,03/30/2025
"Rehabilitation of Spillway, Minsubong, Tangub City, Misamis Occidental",MISAMIS OCCIDENTAL,ABIB BUILDERS ENTERPRISE,4752999.94,03/28/2025
"Construction of Shore Line Protection, Barangay Southern Looc, Plaridel, Misamis Occidental",MISAMIS OCCIDENTAL,ANIMAS BROS CONSTRUCTION CORPORATION (FORMERLY: ANIMAS BROS CONSTRUCTION),86849960.44,03/28/2025
"Construction of Revetment along Bantac River Sta. 0+490 - Sta. 1+290 R/S, Barangay Bantac, Magpet, Cotabato",COTABATO (NORTH COTABATO),JARGON CONSTRUCTION & SUPPLY,49000000.0,03/25/2025
"Construction of Flood Control Structure (Downstream of Cabulawan Bridge), Lagonglong, Misamis Oriental",MISAMIS ORIENTAL,JEJOR'S CONSTRUCTION CORPORATION,49000000.0,03/25/2025
"Construction of Flood Mitigation Structure in Barangay Laguitas, Malaybalay City, Bukidnon",BUKIDNON,"JT GAMOLO CONSTRUCTION, INCORPORATION (FORMERLY:J.T. GAMOLO CONSTRUCTION)",141855000.0,03/25/2025
"Construction of Flood Mitigation Structure in Barangay Magkalungay, San Fernando, Bukidnon",BUKIDNON,"JT GAMOLO CONSTRUCTION, INCORPORATION (FORMERLY:J.T. GAMOLO CONSTRUCTION)",144750000.0,03/25/2025
"Construction of San Jacinto Shore Protection Structure, Sitio Cagas, Barangay Calipat-an, San Jacinto, Masbate",MASBATE,A3 CONSTRUCTION & SUPPLY / EJ CANTORIA CONSTRUCTION & SUPPLY,63156272.13,03/25/2025
"Construction of Flood Mitigation Structure along Pampanga River, Barangay Calaba, San Isidro, Nueva Ecija",NUEVA ECIJA,TRIPLE S BUILDERS INC.,34128123.18,03/25/2025
"Construction of Flood Control Structure along Cagayan River, Barangay Calaccab, Angadanan, Isabela",ISABELA,"INFINITUM 888 CONSTRUCTION AND DEVELOPMENT CORPORATION / ALGO CONSTRUCTION AND POWER DEVELOPMENT, INC.",77163172.6,03/25/2025
"Construction of Flood Control Structure Along Tipo River, Buenavista, Marinduque",GUIMARAS,"SUNWEST, INC. (FORMERLY: SUNWEST CONSTRUCTION & DEVELOPMENT CORPORATION)",96495777.91,03/24/2025
"Construction of Dumacaa River Flood Control Structure (Package 22), Lucena City, Quezon",QUEZON,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,96500000.0,03/24/2025
"Construction of Concrete Revetment, Downstream of Sinawal Bridge, Sinawal River, Barangay Labangal, General Santos City",SOUTH COTABATO,J.G. ORANZA CONSTRUCTION,120624229.69,03/21/2025
"Construction of Flood Control along Daisug River,Lopez Jaena, Misamis Occidental",MISAMIS OCCIDENTAL,MINDANAO ROCK,37239990.16,03/21/2025
"Construction of Flood Mitigation Structure along Impasug-ong Bridge (Right Side), Impasug-ong, Bukidnon",BUKIDNON,ROSBILL CONSTRUCTION AND SUPPLY,96500000.0,03/21/2025
"Construction of Slope Protection Structure for Cagayan River Basin, Magat River, Aplat Section, Package 2, Aurora, Isabela",ISABELA,JWU CONSTRUCTION AND SUPPLY,144740047.39,03/21/2025
"Reconstruction/Rehabilitation of Drainage System Dapa, Surigao Del Norte",SURIGAO DEL NORTE,BOOMETRIX DEVELOPMENT CORP.,67049933.5,03/20/2025
"Construction of Revetment along Mabato River Sta. 2+800 - Sta. 3+110 L/S (Junction with Overflow bridge), Barangay Bantac, Magpet, Cotabato",COTABATO (NORTH COTABATO),JARGON CONSTRUCTION & SUPPLY,49000000.0,03/20/2025
"Construction of Flood Control Structure along Orel Creek, Barangay Banilad, Mandaue City",CEBU,ZLREJ TRADING AND CONSTRUCTION CORPORATION,67450000.0,03/20/2025
"Construction of Revetment along Marbol River (Phase II) Barangay New Cebu, Pres. Roxas, Cotabato",COTABATO (NORTH COTABATO),MARCUS CONSTRUCTION & SUPPLY,96493871.31,03/19/2025
"Construction of Flood Control Structure along Masalasa Creek (Segment 52), Tarlac City, Tarlac",TARLAC,WHITE OAK CONSTRUCTION & DEVELOPMENT CORP.,24125000.0,03/19/2025
"Construction of Flood Mitigation Structure, Barangay Quinyangan Diotay, Balud, Masbate",MASBATE,NEXT GENERATION CONSTRUCTION AND SUPPLY CORPORATION / 3R3M CONSTRUCTION AND SUPPLY CORPORATION (FORMERLY: 3R3M CONSTRUCTION AND SUPPLY),62724959.24,03/17/2025
"Construction of Flood Control Structure, Brgy. Diteki, San Luis, Aurora",AURORA,GERRA CONSTRUCTION INCORPORATED (FORMERLY: GERRA CONSTRUCTION),49500000.0,03/17/2025
"Construction of Flood Control Structure along Aringay River Basin, Tubao, La Union (Package 8)",LA UNION,RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,48926107.83,03/17/2025
"Construction of Retarding Basin at Estero dela Reina (Phase XXI), Tondo, Manila City",CITY OF MANILA,G.F. FABIAN CONSTRUCTION / F316 CONSTRUCTION CORP.,96349103.73,03/17/2025
"Construction of Ablola Pumping Station, Barangay Tangos North, Navotas City",NAVOTAS CITY,ST. TIMOTHY CONSTRUCTION CORPORATION,48999201.71,03/17/2025
"Construction of Flood Control Structure along Aringay River Basin, Brgy. Magsaysay, Tubao, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,19284998.86,03/16/2025
"Construction of Flood Control Structures along Bauang River Basin, Sto Tomas, La Union",LA UNION,HIGH ROCK CONSTRUCTION AND SUPPLIES INCORPORATED / JHI CONSTRUCTION & SUPPLY,96494448.46,03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 9), Naguilian, La Union",LA UNION,UNIMAX STEEL STRUCTURE AND CONSTRUCTION CORP.,94560757.31,03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 10), Naguilian, La Union",LA UNION,UNIMAX STEEL STRUCTURE AND CONSTRUCTION CORP.,82403230.11,03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 4), Naguilian, La Union",LA UNION,UNIVERSAL DE LEON CONSTRUCTION AND AGGREGATES,94560128.59,03/16/2025
"Construction of Flood Control Structures along Aringay River Basin, Brgy. Sta. Lucia, Aringay, La Union",LA UNION,KRYPTONITE 6S BUILDERS INC.,19224221.54,03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 7), Naguilian, La Union",LA UNION,UNIMAX STEEL STRUCTURE AND CONSTRUCTION CORP.,94560506.31,03/16/2025
"Construction of Flood Control Structure along Aringay River Basin Barangay Halog East, Tubao, La Union (Package 7)",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,19284998.86,03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 6), Bauang, La Union",LA UNION,SILVERWOLVES CONSTRUCTION CORPORATION,89737362.73,03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 7), Bauang, La Union",LA UNION,SILVERWOLVES CONSTRUCTION CORPORATION,89737260.38,03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 4), Bauang, La Union",LA UNION,SILVERWOLVES CONSTRUCTION CORPORATION,89736445.72,03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 3), Bauang, La Union",LA UNION,SILVERWOLVES CONSTRUCTION CORPORATION,89736907.75,03/16/2025
"Construction of Flood Control structure along Bauang River Basin (Package 5), Bauang, La Union",LA UNION,SILVERWOLVES CONSTRUCTION CORPORATION,89736347.57,03/16/2025
"Construction of Flood Control Structures along Bauang River Basin, Burgos, La Union",LA UNION,ANORE CONSTRUCTION,96489333.05,03/16/2025
"Construction of Shore Protection Works, Barangay Urayong, Bauang, La Union",LA UNION,ANORE CONSTRUCTION,96493843.08,03/16/2025
"Construction of Flood Control Structure along Aringay River Basin, Brgy. Halong West, Tubao, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,29693452.57,03/16/2025
"Construction of Flood Control Structures along Bauang River Basin, Bagulin, La Union",LA UNION,ANORE CONSTRUCTION,96403190.33,03/16/2025
"Construction of Flood Control Structure along Bauang River Basin, Barangay Acao, Bauang, La Union",LA UNION,PANGASINAN NEW WILSON LUMBER & CONSTRUCTION SUPPLY,28946444.57,03/16/2025
"Construction of Flood Control Structure, Barangay Liquicia, Caba, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,48995000.01,03/16/2025
"Construction of Flood Control Structure along Aringay River Basin, Brgy. Lloren, Tubao, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,29693483.68,03/16/2025
"Construction of Flood Control Structure along Aringay River Basin, Barangay Sta. Teresa, Tubao, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,48987820.45,03/16/2025
"Construction of Flood Control Structure, Barangay San Fermin, Caba, La Union",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,48995000.0,03/16/2025
"Construction of Flood Control Structure, Aringay River Basin, Brgy. Magsaysay, Tubao, La Union (Package 4)",LA UNION,VILLAR GENERAL CONSTRUCTION AND SUPPLIES,29694079.43,03/16/2025
"Construction of Flood Control Structure along Aringay River Basin, Barangay Pideg, Tubao, La Union",LA UNION,RODEKOM GENERAL CONSTRUCTION AND ENTERPRISE,48938884.3,03/16/2025
"Rehabilitation of Flood Control Structure along Gantay River at Barangay Salincob, Bacnotan, La Union",LA UNION,MY BUILDERS AND CONSTRUCTION,96499911.45,03/14/2025
"Construction of Flood Control Structure of Imbang River (Upstream), Silay City, Negros Occidental",NEGROS OCCIDENTAL,SILVERGRACES CONSTRUCTION AND CONSTRUCTION SUPPLY,96499999.99,3/12/2025
"Installation of Pump Accessories along Estero de Magdalena, Tondo, Manila City",CITY OF MANILA,GOLDEN J'S CONSTRUCTION SERVICES,48015187.82,3/12/2025
